period,lat,lon,time,dep,log_dep,log_dep_norm
1.0,-82.3129,8.4375,6.5,0.00095353357,-3.020664,-2.15434
1.0,-82.3129,11.25,6.5,0.0009041169,-3.0437753,-2.1743221
1.0,-82.3129,14.0625,6.5,0.00087133085,-3.0598168,-2.1881917
1.0,-82.3129,16.875,6.5,0.0008242067,-3.0839639,-2.2090693
1.0,-82.3129,19.6875,6.5,0.0008013428,-3.0961816,-2.2196326
1.0,-82.3129,22.5,6.5,0.00078247645,-3.1065288,-2.2285788
1.0,-82.3129,25.3125,6.5,0.00075731147,-3.1207254,-2.240853
1.0,-82.3129,28.125,6.5,0.0007496078,-3.125166,-2.2446926
1.0,-82.3129,30.9375,6.5,0.00073841633,-3.1316986,-2.2503407
1.0,-82.3129,33.75,6.5,0.0007249219,-3.1397088,-2.2572663
1.0,-82.3129,36.5625,6.5,0.00071198656,-3.1475282,-2.2640269
1.0,-82.3129,39.375,6.5,0.0007354707,-3.1334345,-2.2518415
1.0,-82.3129,42.1875,6.5,0.0007235189,-3.1405501,-2.2579937
1.0,-82.3129,45.0,6.5,0.00068825105,-3.1622531,-2.2767582
1.0,-82.3129,47.8125,6.5,0.0007050874,-3.151757,-2.267683
1.0,-82.3129,50.625,6.5,0.0006816148,-3.166461,-2.2803962
1.0,-82.3129,53.4375,6.5,0.00068253675,-3.165874,-2.2798886
1.0,-82.3129,56.25,6.5,0.00068387995,-3.1650202,-2.2791505
1.0,-82.3129,59.0625,6.5,0.00067378825,-3.1714766,-2.2847328
1.0,-82.3129,61.875,6.5,0.00065931154,-3.1809094,-2.2928884
1.0,-82.3129,64.6875,6.5,0.0008641679,-3.063402,-2.1912913
1.0,-82.3129,67.5,6.5,0.000889553,-3.0508282,-2.1804202
1.0,-82.3129,70.3125,6.5,0.0008765052,-3.0572455,-2.1859684
1.0,-82.3129,73.125,6.5,0.0009115787,-3.0402057,-2.1712358
1.0,-82.3129,75.9375,6.5,0.00095944304,-3.0179808,-2.1520202
1.0,-82.3129,78.75,6.5,0.00089366466,-3.0488255,-2.1786885
1.0,-82.3129,81.5625,6.5,0.00089545717,-3.0479553,-2.177936
1.0,-82.3129,84.375,6.5,0.00087036873,-3.0602968,-2.1886065
1.0,-82.3129,87.1875,6.5,0.0008391162,-3.0761778,-2.2023373
1.0,-82.3129,90.0,6.5,0.00078196084,-3.106815,-2.2288263
1.0,-82.3129,92.8125,6.5,0.000763027,-3.11746,-2.23803
1.0,-82.3129,95.625,6.5,0.0007005859,-3.1545386,-2.2700882
1.0,-82.3129,98.4375,6.5,0.0006608,-3.17993,-2.2920415
1.0,-82.3129,101.25,6.5,0.00063083385,-3.200085,-2.3094676
1.0,-82.3129,104.0625,6.5,0.000596857,-3.2241297,-2.3302567
1.0,-82.3129,106.875,6.5,0.00061738415,-3.2094445,-2.3175597
1.0,-82.3129,109.6875,6.5,0.0006079501,-3.2161322,-2.3233418
1.0,-82.3129,112.5,6.5,0.0006275934,-3.2023215,-2.3114014
1.0,-82.3129,115.3125,6.5,0.00065982394,-3.180572,-2.2925966
1.0,-82.3129,118.125,6.5,0.00070680445,-3.1507008,-2.26677
1.0,-82.3129,120.9375,6.5,0.0007588964,-3.1198175,-2.2400682
1.0,-82.3129,123.75,6.5,0.000817855,-3.0873237,-2.2119741
1.0,-82.3129,126.5625,6.5,0.0008607846,-3.0651054,-2.192764
1.0,-82.3129,129.375,6.5,0.0009018312,-3.0448747,-2.1752727
1.0,-82.3129,132.1875,6.5,0.0009197188,-3.036345,-2.167898
1.0,-82.3129,135.0,6.5,0.0008733452,-3.058814,-2.1873245
1.0,-82.3129,137.8125,6.5,0.0008566139,-3.067215,-2.194588
1.0,-82.3129,140.625,6.5,0.00083490124,-3.0783648,-2.2042282
1.0,-82.3129,143.4375,6.5,0.00083034654,-3.0807407,-2.2062824
1.0,-82.3129,146.25,6.5,0.0008318011,-3.0799806,-2.2056253
1.0,-82.3129,149.0625,6.5,0.0008415557,-3.074917,-2.2012472
1.0,-82.3129,151.875,6.5,0.0008562465,-3.0674012,-2.194749
1.0,-82.3129,154.6875,6.5,0.00087882986,-3.0560951,-2.1849737
1.0,-82.3129,157.5,6.5,0.00093399646,-3.0296547,-2.1621134
1.0,-82.3129,160.3125,6.5,0.0009711643,-3.0127072,-2.1474607
1.0,-82.3129,163.125,6.5,0.0010549997,-2.9767478,-2.11637
1.0,-82.3129,165.9375,6.5,0.0010841131,-2.9649253,-2.1061482
1.0,-82.3129,168.75,6.5,0.0011439964,-2.9415753,-2.08596
1.0,-82.3129,171.5625,6.5,0.0011552977,-2.9373062,-2.0822687
1.0,-82.3129,174.375,6.5,0.0011944826,-2.92282,-2.069744
1.0,-82.3129,177.1875,6.5,0.0012232858,-2.912472,-2.0607972
1.0,-82.3129,180.0,6.5,0.0012375718,-2.9074297,-2.0564375
1.0,-82.3129,-177.1875,6.5,0.0012740511,-2.894813,-2.0455294
1.0,-82.3129,-174.375,6.5,0.0013024575,-2.8852365,-2.0372493
1.0,-82.3129,-171.5625,6.5,0.0013462441,-2.870876,-2.0248332
1.0,-82.3129,-168.75,6.5,0.0013423018,-2.8721497,-2.0259345
1.0,-82.3129,-165.9375,6.5,0.001362829,-2.8655586,-2.0202358
1.0,-82.3129,-163.125,6.5,0.0013830382,-2.859166,-2.0147088
1.0,-82.3129,-160.3125,6.5,0.0013959231,-2.8551385,-2.0112267
1.0,-82.3129,-157.5,6.5,0.0014043968,-2.8525102,-2.0089543
1.0,-82.3129,-154.6875,6.5,0.0014305002,-2.844512,-2.002039
1.0,-82.3129,-151.875,6.5,0.0014349842,-2.843153,-2.000864
1.0,-82.3129,-149.0625,6.5,0.0014215019,-2.8472526,-2.0044084
1.0,-82.3129,-146.25,6.5,0.0014156086,-2.8490567,-2.0059683
1.0,-82.3129,-143.4375,6.5,0.0016134146,-2.792254,-1.9568566
1.0,-82.3129,-140.625,6.5,0.0016174442,-2.7911706,-1.9559199
1.0,-82.3129,-137.8125,6.5,0.0016673956,-2.7779613,-1.9444991
1.0,-82.3129,-135.0,6.5,0.0016587476,-2.7802198,-1.9464519
1.0,-82.3129,-132.1875,6.5,0.0016614789,-2.7795053,-1.945834
1.0,-82.3129,-129.375,6.5,0.0017169209,-2.7652497,-1.9335088
1.0,-82.3129,-126.5625,6.5,0.001728569,-2.7623134,-1.93097
1.0,-82.3129,-123.75,6.5,0.0016575733,-2.7805274,-1.9467177
1.0,-82.3129,-120.9375,6.5,0.0017975618,-2.7453163,-1.9162742
1.0,-82.3129,-118.125,6.5,0.0018977415,-2.721763,-1.89591
1.0,-82.3129,-115.3125,6.5,0.0018230844,-2.7391932,-1.9109802
1.0,-82.3129,-112.5,6.5,0.0019559609,-2.7086399,-1.8845638
1.0,-82.3129,-109.6875,6.5,0.0021003773,-2.6777027,-1.8578155
1.0,-82.3129,-106.875,6.5,0.0021847175,-2.6606047,-1.8430326
1.0,-82.3129,-104.0625,6.5,0.002245021,-2.6487796,-1.8328086
1.0,-82.3129,-101.25,6.5,0.0023830135,-2.6228735,-1.8104101
1.0,-82.3129,-98.4375,6.5,0.0025638035,-2.5911152,-1.782952
1.0,-82.3129,-95.625,6.5,0.0025952049,-2.5858283,-1.7783809
1.0,-82.3129,-92.8125,6.5,0.0026015597,-2.5847661,-1.7774625
