Longitude,Latitude,MAR,LogMAR
463.75,36.07,4.66134E-09,-8.331489272
107.5,36.05,2.66362E-09,-8.574527321
467.5,36.05,2.66362E-09,-8.574527321
103.83,36,9.32268E-09,-8.030459277
133,36,2.9173E-10,-9.53501878
463.83,36,9.32268E-09,-8.030459277
493,36,2.9173E-10,-9.53501878
109.42,35.75,2.15627E-09,-8.666297694
109.42,35.75,1.90259E-09,-8.720655357
109.42,35.75,1.68062E-09,-8.774530737
109.42,35.75,1.90259E-09,-8.720655357
109.42,35.75,2.15627E-09,-8.666297694
109.42,35.75,1.68062E-09,-8.774530737
469.42,35.75,2.15627E-09,-8.666297694
469.42,35.75,1.90259E-09,-8.720655357
469.42,35.75,1.68062E-09,-8.774530737
469.42,35.75,1.90259E-09,-8.720655357
469.42,35.75,2.15627E-09,-8.666297694
469.42,35.75,1.68062E-09,-8.774530737
107.6,35.7,4.40512E-09,-8.356041832
107.7,35.7,2.6002E-09,-8.584992755
467.6,35.7,4.40512E-09,-8.356041832
467.7,35.7,2.6002E-09,-8.584992755
103.17,35.63,7.70548E-09,-8.113200333
463.17,35.63,7.70548E-09,-8.113200333
103.2,35.62,6.27854E-09,-8.202141417
109.78,35.62,6.65906E-10,-9.176587312
463.2,35.62,6.27854E-09,-8.202141417
469.78,35.62,6.65906E-10,-9.176587312
103.57,35.58,6.88102E-09,-8.162346873
463.57,35.58,6.88102E-09,-8.162346873
103.58,35.55,7.7689E-09,-8.109640523
463.58,35.55,7.7689E-09,-8.109640523
107.97,35.48,1.39523E-09,-8.85535393
467.97,35.48,1.39523E-09,-8.85535393
270.03,35.42,1.00837E-08,-7.996379487
-89.97,35.42,1.00837E-08,-7.996379487
107.82,35.2,2.12456E-09,-8.672731804
109.59,35.2,4.75647E-10,-9.322715348
467.82,35.2,2.12456E-09,-8.672731804
469.59,35.2,4.75647E-10,-9.322715348
108.33,35.13,9.19584E-10,-9.036408609
468.33,35.13,9.19584E-10,-9.036408609
107.65,35.07,2.06114E-09,-8.68589325
467.65,35.07,2.06114E-09,-8.68589325
105.92,35,2.53678E-09,-8.59571662
465.92,35,2.53678E-09,-8.59571662
324.75,34.98,1.3001E-10,-9.88602275
-35.25,34.98,1.3001E-10,-9.88602275
109.6,34.97,4.12227E-10,-9.384863255
113.37,34.97,3.82021E-08,-7.417913277
469.6,34.97,4.12227E-10,-9.384863255
473.37,34.97,3.82021E-08,-7.417913277
104.17,34.93,2.53678E-09,-8.59571662
464.17,34.93,2.53678E-09,-8.59571662
179.7,34.904,1.61086E-10,-9.792942895
539.7,34.904,1.61086E-10,-9.792942895
108.55,34.8,1.17326E-09,-8.930604883
468.55,34.8,1.17326E-09,-8.930604883
105.7,34.68,3.01243E-09,-8.521083002
465.7,34.68,3.01243E-09,-8.521083002
269.37,34.63,1.87405E-08,-7.727219126
-90.63,34.63,1.87405E-08,-7.727219126
108.95,34.47,1.80746E-09,-8.742931751
468.95,34.47,1.80746E-09,-8.742931751
107.63,34.45,1.83917E-09,-8.735378613
467.63,34.45,1.83917E-09,-8.735378613
109.52,34.35,2.56849E-09,-8.590321588
469.52,34.35,2.56849E-09,-8.590321588
107,34.33,1.58549E-09,-8.799836603
107.3,34.33,1.58549E-09,-8.799836603
109.57,34.33,1.64891E-09,-8.782803263
467,34.33,1.58549E-09,-8.799836603
467.3,34.33,1.58549E-09,-8.799836603
469.57,34.33,1.64891E-09,-8.782803263
108.12,34.32,3.01243E-09,-8.521083002
468.12,34.32,3.01243E-09,-8.521083002
108.85,34.28,3.04414E-09,-8.516535374
468.85,34.28,3.04414E-09,-8.516535374
107.83,34.27,3.29782E-09,-8.481773268
467.83,34.27,3.29782E-09,-8.481773268
109.12,34.23,9.51294E-10,-9.021685352
469.12,34.23,9.51294E-10,-9.021685352
109.2,34.2,1.42694E-09,-8.845594093
109.2,34.2,9.19584E-10,-9.036408609
109.2,34.2,1.42694E-09,-8.845594093
109.2,34.2,9.19584E-10,-9.036408609
469.2,34.2,1.42694E-09,-8.845594093
469.2,34.2,9.19584E-10,-9.036408609
