Longitude,Latitude,MAR,LogMAR
469.78,35.62,4.67402E-10,-9.330309123
103.57,35.58,9.46664E-09,-8.023804079
463.57,35.58,9.46664E-09,-8.023804079
103.58,35.55,7.40994E-09,-8.130185063
463.58,35.55,7.40994E-09,-8.130185063
287.55,35.49,7.73719E-11,-10.11141678
-72.45,35.49,7.73719E-11,-10.11141678
107.97,35.48,1.30454E-09,-8.88454232
467.97,35.48,1.30454E-09,-8.88454232
81.48,35.28,8.72019E-11,-10.05947391
441.48,35.28,8.72019E-11,-10.05947391
107.82,35.2,1.75101E-09,-8.756710205
467.82,35.2,1.75101E-09,-8.756710205
108.33,35.13,7.88305E-10,-9.103305483
468.33,35.13,7.88305E-10,-9.103305483
107.65,35.07,6.62735E-10,-9.178660321
467.65,35.07,6.62735E-10,-9.178660321
105.92,35,7.64333E-09,-8.116717488
465.92,35,7.64333E-09,-8.116717488
324.75,34.98,6.65906E-11,-10.17658731
-35.25,34.98,6.65906E-11,-10.17658731
113.37,34.97,1.56076E-09,-8.806664998
473.37,34.97,1.56076E-09,-8.806664998
104.17,34.93,5.49594E-09,-8.259957927
464.17,34.93,5.49594E-09,-8.259957927
179.7,34.904,5.12113E-11,-10.29063408
539.7,34.904,5.12113E-11,-10.29063408
108.55,34.8,1.02549E-09,-8.989066591
468.55,34.8,1.02549E-09,-8.989066591
105.7,34.68,1.35211E-09,-8.868989411
465.7,34.68,1.35211E-09,-8.868989411
111.15,34.63,1.91083E-09,-8.71877748
471.15,34.63,1.91083E-09,-8.71877748
109.5,34.5,4.18633E-09,-8.378166879
469.5,34.5,4.18633E-09,-8.378166879
327.75,34.47,4.75647E-11,-10.32271535
-32.25,34.47,4.75647E-11,-10.32271535
177.74,34.42,2.15309E-10,-9.666936833
177.74,34.42,1.03057E-10,-9.986923246
537.74,34.42,2.15309E-10,-9.666936833
537.74,34.42,1.03057E-10,-9.986923246
109.52,34.35,1.8379E-09,-8.73567823
469.52,34.35,1.8379E-09,-8.73567823
107,34.33,9.8554E-10,-9.006325597
109.57,34.33,1.80238E-09,-8.744152538
467,34.33,9.8554E-10,-9.006325597
469.57,34.33,1.80238E-09,-8.744152538
108.85,34.28,5.14967E-10,-9.288220582
468.85,34.28,5.14967E-10,-9.288220582
107.83,34.27,6.57027E-10,-9.182416856
467.83,34.27,6.57027E-10,-9.182416856
109.2,34.2,1.26078E-09,-8.899360231
469.2,34.2,1.26078E-09,-8.899360231
109.48,34.18,2.21969E-10,-9.653708567
469.48,34.18,2.21969E-10,-9.653708567
164.5,34.03,4.43937E-11,-10.35267857
524.5,34.03,4.43937E-11,-10.35267857
338.98,33.82,1.50622E-10,-9.822112997
-21.02,33.82,1.50622E-10,-9.822112997
182.5,33.59,6.97615E-11,-10.15638393
-177.5,33.59,6.97615E-11,-10.15638393
150.4,33.4,1.33181E-10,-9.875557317
510.4,33.4,1.33181E-10,-9.875557317
195.53,33.35,1.90259E-11,-10.72065536
-164.47,33.35,1.90259E-11,-10.72065536
338.02,33.15,3.71005E-11,-10.43062075
338.02,33.15,7.42009E-11,-10.12959075
-21.98,33.15,3.71005E-11,-10.43062075
-21.98,33.15,7.42009E-11,-10.12959075
158,33.05,3.48808E-11,-10.45741392
518,33.05,3.48808E-11,-10.45741392
193.58,33.02,1.26839E-11,-10.89674662
-166.42,33.02,1.26839E-11,-10.89674662
34.92,32.55,2.28311E-09,-8.641474111
394.92,32.55,2.28311E-09,-8.641474111
153.02,32.29,5.07357E-11,-10.29468662
159.56,32.29,4.43937E-11,-10.35267857
513.02,32.29,5.07357E-11,-10.29468662
519.56,32.29,4.43937E-11,-10.35267857
295.75,32.08,6.02486E-11,-10.22005301
